test
test 2
test 3
model: 0, 2, 16 begin
Epoch 18: train loss 1.7490220069885254, test loss 1.8803085088729858, adv 0.033595549205190145, acc 0.49712171052631576
Epoch 19: train loss 1.2690906524658203, test loss 1.7843177318572998, adv 0.023110278698346698, acc 0.5272752192982456
model: 100, 2, 64 begin
Epoch 0: train loss 2.816642999649048, test loss 2.801055669784546, adv 0.03090347015484285, acc 0.3170230263157895
Epoch 1: train loss 2.623159408569336, test loss 2.3372576236724854, adv 0.0245091241644666, acc 0.40542763157894735
Epoch 2: train loss 2.3269433975219727, test loss 2.213665246963501, adv 0.024099256445542894, acc 0.43242872807017546
Epoch 3: train loss 1.992008090019226, test loss 2.123857259750366, adv 0.019343064839259294, acc 0.4517543859649123
Epoch 4: train loss 2.160970449447632, test loss 2.0974833965301514, adv 0.03374241115729559, acc 0.46395285087719296
Epoch 5: train loss 1.9712575674057007, test loss 1.986398696899414, adv 0.027403942921604973, acc 0.4847861842105263
Epoch 6: train loss 2.112978219985962, test loss 2.2027595043182373, adv 0.014743096903143682, acc 0.4479166666666667
Epoch 7: train loss 1.9678155183792114, test loss 2.054625988006592, adv 0.03509386292572403, acc 0.4764254385964912
Epoch 8: train loss 1.9134763479232788, test loss 1.8759483098983765, adv 0.03162008041715825, acc 0.5035635964912281
Epoch 9: train loss 1.703786015510559, test loss 1.8172674179077148, adv 0.024423405933456932, acc 0.5165844298245614
Epoch 10: train loss 1.3818933963775635, test loss 1.7917240858078003, adv 0.01912291818794587, acc 0.518640350877193
Epoch 11: train loss 1.4515001773834229, test loss 1.7556540966033936, adv 0.022821674483701315, acc 0.5227521929824561
Epoch 12: train loss 1.8244727849960327, test loss 2.0119576454162598, adv 0.013436990956580352, acc 0.4764254385964912
Epoch 13: train loss 1.805397391319275, test loss 2.09055233001709, adv 0.009343726010597408, acc 0.45874451754385964
Epoch 14: train loss 2.1757328510284424, test loss 2.098104476928711, adv 0.010670456992267208, acc 0.4584703947368421
Epoch 15: train loss 2.2604193687438965, test loss 2.1813409328460693, adv 0.007067658306652458, acc 0.4447642543859649
Epoch 16: train loss 2.153834104537964, test loss 2.1813409328460693, adv 0.005401711322061797, acc 0.4447642543859649
Epoch 17: train loss 2.069492816925049, test loss 2.1813409328460693, adv 0.0050263649384935105, acc 0.4447642543859649
Epoch 18: train loss 2.054102897644043, test loss 2.1813409328460693, adv 0.004992136156827476, acc 0.4447642543859649
Epoch 19: train loss 2.320854425430298, test loss 2.198298931121826, adv 0.006195409481548064, acc 0.44229714912280704
model: 100, 5, 64 begin
Epoch 0: train loss 2.6605215072631836, test loss 2.9508795738220215, adv -0.0004642827051620224, acc 0.28810307017543857
Epoch 1: train loss 2.6818251609802246, test loss 2.584320306777954, adv 0.009504776816641414, acc 0.34731359649122806
Epoch 2: train loss 2.1133434772491455, test loss 2.237238883972168, adv 0.015491595517609369, acc 0.4213267543859649
Epoch 3: train loss 2.091118574142456, test loss 1.975889801979065, adv 0.022953031090265696, acc 0.4804002192982456
Epoch 4: train loss 1.9289414882659912, test loss 2.074660539627075, adv 0.03273982966353983, acc 0.45490679824561403
Epoch 5: train loss 2.069824695587158, test loss 2.161156415939331, adv 0.03693504957029714, acc 0.4457236842105263
Epoch 6: train loss 1.771580457687378, test loss 1.9368345737457275, adv 0.021008280439626215, acc 0.48807565789473684
Epoch 7: train loss 1.922462821006775, test loss 1.8928765058517456, adv 0.02280660796869438, acc 0.5020559210526315
Epoch 8: train loss 1.988021969795227, test loss 1.8763402700424194, adv 0.026653981538691918, acc 0.5045230263157895
Epoch 9: train loss 1.9878572225570679, test loss 2.1562440395355225, adv 0.011028542708157785, acc 0.45997807017543857
Epoch 10: train loss 1.9382376670837402, test loss 1.858904480934143, adv 0.029446260227677046, acc 0.4954769736842105
Epoch 11: train loss 1.7007553577423096, test loss 1.908493995666504, adv 0.024636970126757585, acc 0.49643640350877194
Epoch 12: train loss 1.7405610084533691, test loss 2.0421361923217773, adv 0.027050684341590414, acc 0.4536732456140351
Epoch 13: train loss 1.826237440109253, test loss 2.0194172859191895, adv 0.03141339123555953, acc 0.4621710526315789
Epoch 14: train loss 1.947391152381897, test loss 1.9867160320281982, adv 0.02392635721507619, acc 0.48273026315789475
Epoch 15: train loss 1.8725448846817017, test loss 1.7801575660705566, adv 0.02785827880132563, acc 0.5178179824561403
Epoch 16: train loss 1.6160136461257935, test loss 1.7905598878860474, adv 0.031699947574378884, acc 0.5230263157894737
Epoch 17: train loss 1.8003586530685425, test loss 1.7174122333526611, adv 0.033617490731899125, acc 0.53125
Epoch 18: train loss 1.419955849647522, test loss 1.7058827877044678, adv 0.031041994326798772, acc 0.5302905701754386
Epoch 19: train loss 1.2118151187896729, test loss 1.7144166231155396, adv 0.030699999063828254, acc 0.5341282894736842
model: 100, 10, 64 begin
Epoch 0: train loss 3.4063589572906494, test loss 3.5331854820251465, adv 0.011095098672508463, acc 0.2631578947368421
Epoch 1: train loss 4.010385990142822, test loss 3.833730936050415, adv 0.012839011215338147, acc 0.23711622807017543
Epoch 2: train loss 3.103013515472412, test loss 3.833730936050415, adv 0.014571660441124124, acc 0.23711622807017543
Epoch 3: train loss 3.4309308528900146, test loss 3.833730936050415, adv 0.016547714336535124, acc 0.23711622807017543
Epoch 4: train loss 3.532658576965332, test loss 4.063713550567627, adv 0.022724254105113362, acc 0.24588815789473684
Epoch 5: train loss 3.186569929122925, test loss 3.8354063034057617, adv 0.009351039852833809, acc 0.28358004385964913
Epoch 6: train loss 3.6834495067596436, test loss 3.8354063034057617, adv 0.010701321406504594, acc 0.28358004385964913
Epoch 7: train loss 4.176558971405029, test loss 3.8354063034057617, adv 0.01743839404407499, acc 0.28358004385964913
Epoch 8: train loss 3.7112181186676025, test loss 3.8354063034057617, adv 0.011017425667958602, acc 0.28358004385964913
Epoch 9: train loss 4.186943054199219, test loss 4.012568473815918, adv 0.016237461148870036, acc 0.26850328947368424
Epoch 10: train loss 4.029294490814209, test loss 4.012568473815918, adv 0.014118055945627206, acc 0.26850328947368424
Epoch 11: train loss 3.3064887523651123, test loss 4.012568473815918, adv 0.011631642138965337, acc 0.26850328947368424
Epoch 12: train loss 4.223154067993164, test loss 4.012568473815918, adv 0.017179922859443142, acc 0.26850328947368424
Epoch 13: train loss 4.164019584655762, test loss 4.012568473815918, adv 0.015979136241082936, acc 0.26850328947368424
Epoch 14: train loss 4.340498924255371, test loss 4.012568473815918, adv 0.016997661910913897, acc 0.26850328947368424
Epoch 15: train loss 3.9211461544036865, test loss 4.012568473815918, adv 0.014017271199610493, acc 0.26850328947368424
Epoch 16: train loss 4.357446670532227, test loss 4.012568473815918, adv 0.017303965623771234, acc 0.26850328947368424
Epoch 17: train loss 4.213104248046875, test loss 4.012568473815918, adv 0.016985082102267346, acc 0.26850328947368424
Epoch 18: train loss 3.707723617553711, test loss 4.012568473815918, adv 0.011261561721807256, acc 0.26850328947368424
Epoch 19: train loss 4.218241214752197, test loss 4.012568473815918, adv 0.01696679749667651, acc 0.26850328947368424
model: 1000, False, 64 begin
Epoch 0: train loss 2.1657774448394775, test loss 2.3329365253448486, adv 0.01043524382594696, acc 0.40131578947368424
Epoch 1: train loss 1.6779227256774902, test loss 1.9282573461532593, adv 0.021526685577337168, acc 0.48204495614035087
Epoch 2: train loss 1.7585062980651855, test loss 1.809019923210144, adv 0.029153999091913296, acc 0.5093201754385965
Epoch 3: train loss 1.648773193359375, test loss 1.818410038948059, adv 0.03213716906326647, acc 0.5160361842105263
Epoch 4: train loss 1.7675424814224243, test loss 1.6798393726348877, adv 0.034875032766013225, acc 0.5394736842105263
Epoch 5: train loss 1.588412880897522, test loss 1.6290000677108765, adv 0.0390924867531689, acc 0.5544133771929824
Epoch 6: train loss 1.851599097251892, test loss 1.857203722000122, adv 0.04353125760639587, acc 0.5006853070175439
Epoch 7: train loss 1.6067522764205933, test loss 1.5670167207717896, adv 0.038141833539291126, acc 0.5615405701754386
Epoch 8: train loss 1.3785682916641235, test loss 1.5590713024139404, adv 0.03761947892677264, acc 0.565515350877193
Epoch 9: train loss 1.4945385456085205, test loss 1.530685544013977, adv 0.03683338716321216, acc 0.5738760964912281
Epoch 10: train loss 1.3078948259353638, test loss 1.52337646484375, adv 0.04048284816229475, acc 0.5722313596491229
Epoch 11: train loss 1.1592930555343628, test loss 1.489619493484497, adv 0.03908751334044824, acc 0.5838815789473685
Epoch 12: train loss 1.5459043979644775, test loss 1.530198335647583, adv 0.051501882875545246, acc 0.5730537280701754
Epoch 13: train loss 1.21147620677948, test loss 1.448828101158142, adv 0.04756747458293542, acc 0.5888157894736842
Epoch 14: train loss 1.1001824140548706, test loss 1.4425408840179443, adv 0.041896028759197845, acc 0.5948464912280702
Epoch 15: train loss 1.2847304344177246, test loss 1.521062970161438, adv 0.04677187482446776, acc 0.5814144736842105
Epoch 16: train loss 1.1548479795455933, test loss 1.5443114042282104, adv 0.054888484384654324, acc 0.5794956140350878
Epoch 17: train loss 1.0312334299087524, test loss 1.4804251194000244, adv 0.04183064300960515, acc 0.5703125
Epoch 18: train loss 1.3612194061279297, test loss 1.432356834411621, adv 0.05030051114980616, acc 0.5918311403508771
Epoch 19: train loss 1.1965136528015137, test loss 1.409543514251709, adv 0.05240221685483726, acc 0.6037554824561403
model: 1000, 2, 64 begin
Epoch 0: train loss 2.464449644088745, test loss 1.9953652620315552, adv 0.030051846364844814, acc 0.4740953947368421
Epoch 1: train loss 1.669309139251709, test loss 1.8042742013931274, adv 0.028472641549177058, acc 0.5104166666666666
Epoch 2: train loss 1.6411938667297363, test loss 1.6314263343811035, adv 0.031424361998914074, acc 0.5446820175438597
Epoch 3: train loss 1.3125568628311157, test loss 1.634010672569275, adv 0.03395890088749087, acc 0.5540021929824561
Epoch 4: train loss 1.410241723060608, test loss 1.6351063251495361, adv 0.02768845138459808, acc 0.5546875
Epoch 5: train loss 1.5123519897460938, test loss 1.898727536201477, adv 0.03274056104776346, acc 0.5179550438596491
Epoch 6: train loss 1.7473714351654053, test loss 2.013084888458252, adv 0.023223935806699236, acc 0.4979440789473684
Epoch 7: train loss 2.250983715057373, test loss 2.1318044662475586, adv 0.02383522674081151, acc 0.49054276315789475
Epoch 8: train loss 2.322861671447754, test loss 2.183694839477539, adv 0.014589359939336077, acc 0.4772478070175439
Epoch 9: train loss 2.357945442199707, test loss 2.183694839477539, adv 0.014499984787208153, acc 0.4772478070175439
Epoch 10: train loss 2.1014089584350586, test loss 2.183694839477539, adv 0.015689654365369177, acc 0.4772478070175439
Epoch 11: train loss 2.128971576690674, test loss 2.183694839477539, adv 0.014505397030463052, acc 0.4772478070175439
Epoch 12: train loss 1.9351990222930908, test loss 2.205301523208618, adv 0.016548445720758642, acc 0.46902412280701755
Epoch 13: train loss 2.2346384525299072, test loss 2.205301523208618, adv 0.015482965183770458, acc 0.46902412280701755
Epoch 14: train loss 1.8219342231750488, test loss 2.147728443145752, adv 0.0191874262764703, acc 0.48135964912280704
Epoch 15: train loss 2.6762685775756836, test loss 2.147728443145752, adv 0.023567832668651367, acc 0.48135964912280704
Epoch 16: train loss 2.0380611419677734, test loss 2.046039342880249, adv 0.02645533758355334, acc 0.49972587719298245
Epoch 17: train loss 1.9139572381973267, test loss 2.096370220184326, adv 0.021262655872605785, acc 0.4906798245614035
Epoch 18: train loss 1.643156886100769, test loss 2.118333101272583, adv 0.020175526362598006, acc 0.4828673245614035
Epoch 19: train loss 1.7644017934799194, test loss 1.9662318229675293, adv 0.025644232479544726, acc 0.4830043859649123
model: 1000, 5, 64 begin
Epoch 0: train loss 1.8794082403182983, test loss 1.9867174625396729, adv 0.02269924076466512, acc 0.4758771929824561
Epoch 1: train loss 1.6934102773666382, test loss 1.7843177318572998, adv 0.02697447410548781, acc 0.5193256578947368
Epoch 2: train loss 1.3647434711456299, test loss 1.6303046941757202, adv 0.029222310378400618, acc 0.5496162280701754
Epoch 3: train loss 1.2647778987884521, test loss 1.591010570526123, adv 0.03300707745885523, acc 0.5657894736842105
Epoch 4: train loss 1.4734150171279907, test loss 1.5607577562332153, adv 0.034096108567844396, acc 0.5652412280701754
Epoch 5: train loss 1.4584404230117798, test loss 1.599961757659912, adv 0.04577748483401667, acc 0.5578399122807017
Epoch 6: train loss 3.8142123222351074, test loss 3.1900954246520996, adv 0.03198240816154585, acc 0.4140625
Epoch 7: train loss 3.3408374786376953, test loss 3.490363121032715, adv 0.03032099575914171, acc 0.39350328947368424
Epoch 8: train loss 2.609215259552002, test loss 3.490363121032715, adv 0.025876812662659843, acc 0.39350328947368424
Epoch 9: train loss 2.6782233715057373, test loss 3.490363121032715, adv 0.024036211125465723, acc 0.39350328947368424
Epoch 10: train loss 3.6881234645843506, test loss 3.490363121032715, adv 0.03136819169053906, acc 0.39350328947368424
Epoch 11: train loss 3.1204445362091064, test loss 3.490363121032715, adv 0.028893772585144806, acc 0.39350328947368424
Epoch 12: train loss 3.1676177978515625, test loss 3.490363121032715, adv 0.029141565560111604, acc 0.39350328947368424
Epoch 13: train loss 3.7379093170166016, test loss 3.638268232345581, adv 0.030656701117789176, acc 0.38500548245614036
Epoch 14: train loss 4.210419178009033, test loss 3.5087151527404785, adv 0.028437535106442757, acc 0.3932291666666667
Epoch 15: train loss 3.6915037631988525, test loss 3.5087151527404785, adv 0.0301497055739669, acc 0.3932291666666667
Epoch 16: train loss 2.4526164531707764, test loss 3.5087151527404785, adv 0.03335155942818624, acc 0.3932291666666667
Epoch 17: train loss 2.920210599899292, test loss 3.5087151527404785, adv 0.03252421759441293, acc 0.3932291666666667
Epoch 18: train loss 3.143955707550049, test loss 3.5087151527404785, adv 0.03264752897451739, acc 0.3932291666666667
Epoch 19: train loss 3.3017759323120117, test loss 3.5087151527404785, adv 0.032525826639704825, acc 0.3932291666666667
model: 1000, 10, 64 begin
Epoch 0: train loss 1.7609939575195312, test loss 2.0080795288085938, adv 0.023852633685333968, acc 0.4739583333333333
Epoch 1: train loss 1.7410210371017456, test loss 1.814056634902954, adv 0.03326247682974781, acc 0.5043859649122807
Epoch 2: train loss 1.36156165599823, test loss 1.6326465606689453, adv 0.03160398996423819, acc 0.5540021929824561
Epoch 3: train loss 1.584844946861267, test loss 1.6265044212341309, adv 0.035941976071448556, acc 0.5470120614035088
Epoch 4: train loss 1.2709099054336548, test loss 1.5203438997268677, adv 0.04260839699301611, acc 0.5653782894736842
Epoch 5: train loss 1.334408164024353, test loss 1.5562973022460938, adv 0.03824188690108399, acc 0.5697642543859649
Epoch 6: train loss 1.1372041702270508, test loss 1.4689079523086548, adv 0.04287096392930023, acc 0.5794956140350878
Epoch 7: train loss 1.3259977102279663, test loss 1.4366059303283691, adv 0.04348327880132563, acc 0.5877192982456141
Epoch 8: train loss 1.068927526473999, test loss 1.6496460437774658, adv 0.05082374342339302, acc 0.5363212719298246
Epoch 9: train loss 1.2252347469329834, test loss 1.4576174020767212, adv 0.05047180133498108, acc 0.5903234649122807
Epoch 10: train loss 0.8596412539482117, test loss 1.422443151473999, adv 0.0437035717294838, acc 0.6038925438596491
Epoch 11: train loss 1.5061438083648682, test loss 1.4158968925476074, adv 0.048499404360688336, acc 0.6012883771929824
Epoch 12: train loss 1.2641546726226807, test loss 1.3863260746002197, adv 0.058366947752251486, acc 0.5978618421052632
Epoch 13: train loss 1.2266123294830322, test loss 1.4127886295318604, adv 0.05451957418225384, acc 0.5979989035087719
Epoch 14: train loss 1.041858434677124, test loss 1.4514799118041992, adv 0.05188820002246819, acc 0.5956688596491229
Epoch 15: train loss 1.378565788269043, test loss 1.4942193031311035, adv 0.05636880605328687, acc 0.584703947368421
Epoch 16: train loss 1.0101776123046875, test loss 1.3970024585723877, adv 0.056831187159467556, acc 0.6077302631578947
Epoch 17: train loss 0.9577561616897583, test loss 1.4241242408752441, adv 0.055711145359396363, acc 0.6074561403508771
Epoch 18: train loss 0.9656487703323364, test loss 1.4336817264556885, adv 0.05892396997697025, acc 0.5912828947368421
Epoch 19: train loss 0.9830774068832397, test loss 1.4116415977478027, adv 0.057124764786833704, acc 0.5956688596491229
test
test 2
test 3
model: 10000, False, 64 begin
Epoch 0: train loss 1.3750662803649902, test loss 1.9109135866165161, adv 0.022305902329195437, acc 0.4858826754385965
Epoch 1: train loss 1.7376521825790405, test loss 1.658955693244934, adv 0.03365713175682006, acc 0.5409813596491229
Epoch 2: train loss 1.231215238571167, test loss 1.5763190984725952, adv 0.033588235362953855, acc 0.5561951754385965
Epoch 3: train loss 1.3881312608718872, test loss 1.5082980394363403, adv 0.03263758214907608, acc 0.5848410087719298
Epoch 4: train loss 1.0736249685287476, test loss 1.4498839378356934, adv 0.040356318691606274, acc 0.5910087719298246
Epoch 5: train loss 1.8629199266433716, test loss 1.4178546667099, adv 0.047849350062723506, acc 0.596765350877193
Epoch 6: train loss 0.9043575525283813, test loss 1.4707320928573608, adv 0.042887493212754424, acc 0.5942982456140351
Epoch 7: train loss 1.1518076658248901, test loss 1.4548619985580444, adv 0.04792482891460248, acc 0.5975877192982456
Epoch 8: train loss 1.2498453855514526, test loss 1.3575947284698486, adv 0.053776780364732546, acc 0.615953947368421
Epoch 9: train loss 1.105171799659729, test loss 1.3653777837753296, adv 0.05912978149750048, acc 0.6156798245614035
Epoch 10: train loss 1.0948946475982666, test loss 1.3775949478149414, adv 0.06133212567170321, acc 0.6091008771929824
Epoch 11: train loss 0.9827433228492737, test loss 1.3412917852401733, adv 0.06294409650058985, acc 0.6132127192982456
Epoch 12: train loss 1.116803765296936, test loss 1.4336384534835815, adv 0.06054925199872685, acc 0.5885416666666666
Epoch 13: train loss 1.1484804153442383, test loss 1.439083456993103, adv 0.06488504395326622, acc 0.6077302631578947
Epoch 14: train loss 0.8670051097869873, test loss 1.3505027294158936, adv 0.05996034142185769, acc 0.6218475877192983
Epoch 15: train loss 1.0620300769805908, test loss 1.3237539529800415, adv 0.07044648958976951, acc 0.6196546052631579
Epoch 16: train loss 1.1352324485778809, test loss 1.3183223009109497, adv 0.07289048311146062, acc 0.6234923245614035
Epoch 17: train loss 1.1655921936035156, test loss 1.393182635307312, adv 0.07821232727630179, acc 0.6022478070175439
Epoch 18: train loss 1.217829942703247, test loss 1.3797259330749512, adv 0.07567457029714098, acc 0.6125274122807017
Epoch 19: train loss 0.9450757503509521, test loss 1.48065185546875, adv 0.07319210596528669, acc 0.6021107456140351
model: 10000, 2, 64 begin
Epoch 0: train loss 1.520999550819397, test loss 1.6858816146850586, adv 0.036863666470070555, acc 0.5319353070175439
Epoch 1: train loss 1.9983832836151123, test loss 1.5618058443069458, adv 0.04447094005691932, acc 0.5627741228070176
Epoch 2: train loss 1.3854773044586182, test loss 1.469191551208496, adv 0.054072259591080085, acc 0.5868969298245614
Epoch 3: train loss 1.3927866220474243, test loss 1.511633276939392, adv 0.05230172466251004, acc 0.5657894736842105
Epoch 4: train loss 1.2107292413711548, test loss 1.4622317552566528, adv 0.061009585229081176, acc 0.5948464912280702
Epoch 5: train loss 0.8938195705413818, test loss 1.5451387166976929, adv 0.05335901369619356, acc 0.5801809210526315
Epoch 6: train loss 1.5731185674667358, test loss 1.6749125719070435, adv 0.04634928102005287, acc 0.5830592105263158
Epoch 7: train loss 0.5784986615180969, test loss 1.489683747291565, adv 0.05862161573892044, acc 0.5966282894736842
Epoch 8: train loss 0.5570693612098694, test loss 1.4027726650238037, adv 0.05714465843771649, acc 0.6147203947368421
Epoch 9: train loss 1.3701688051223755, test loss 1.418836236000061, adv 0.07335637486191471, acc 0.6040296052631579
Epoch 10: train loss 1.4156972169876099, test loss 1.7284396886825562, adv 0.06490815569473318, acc 0.5699013157894737
Epoch 11: train loss 1.3318573236465454, test loss 1.6970148086547852, adv 0.05170930344136759, acc 0.5561951754385965
Epoch 12: train loss 1.5893433094024658, test loss 1.673740029335022, adv 0.05284221760377461, acc 0.5607182017543859
Epoch 13: train loss 1.5197561979293823, test loss 1.7726446390151978, adv 0.05211653817708628, acc 0.524671052631579
Epoch 14: train loss 1.4547759294509888, test loss 1.8030869960784912, adv 0.048637635978954874, acc 0.5178179824561403
Epoch 15: train loss 1.4429492950439453, test loss 1.8030869960784912, adv 0.04870550843490806, acc 0.5178179824561403
Epoch 16: train loss 1.38514244556427, test loss 1.8221526145935059, adv 0.04225572352038054, acc 0.5098684210526315
Epoch 17: train loss 1.3868495225906372, test loss 1.8150826692581177, adv 0.03508113684023284, acc 0.5293311403508771
Epoch 18: train loss 1.4793176651000977, test loss 1.666133165359497, adv 0.05467740689771394, acc 0.5524945175438597
Epoch 19: train loss 1.6876832246780396, test loss 1.8226792812347412, adv 0.052178705836095074, acc 0.5193256578947368
model: 10000, 5, 64 begin
Epoch 0: train loss 1.639337420463562, test loss 1.6880465745925903, adv 0.032476092512497834, acc 0.5227521929824561
Epoch 1: train loss 1.7872111797332764, test loss 1.4736744165420532, adv 0.04705813860959762, acc 0.5836074561403509
Epoch 2: train loss 1.3195594549179077, test loss 1.3984131813049316, adv 0.05165722888464486, acc 0.5977247807017544
Epoch 3: train loss 1.1550660133361816, test loss 1.3912829160690308, adv 0.06189119577224822, acc 0.602796052631579
Epoch 4: train loss 1.6044139862060547, test loss 1.4628053903579712, adv 0.07015554494560838, acc 0.5819627192982456
Epoch 5: train loss 1.2304294109344482, test loss 1.4975757598876953, adv 0.0640898830253328, acc 0.6023848684210527
Epoch 6: train loss 0.9566065669059753, test loss 1.3213293552398682, adv 0.06463608076354177, acc 0.6245888157894737
Epoch 7: train loss 1.3865125179290771, test loss 1.3060442209243774, adv 0.07897369825310341, acc 0.6207510964912281
Epoch 8: train loss 1.0070512294769287, test loss 1.3134900331497192, adv 0.07855929595199307, acc 0.6175986842105263
Epoch 9: train loss 1.0590425729751587, test loss 1.305364966392517, adv 0.08536321710760353, acc 0.6208881578947368
Epoch 10: train loss 0.6154882907867432, test loss 1.2779529094696045, adv 0.07883809961804189, acc 0.6319901315789473
Epoch 11: train loss 1.3553541898727417, test loss 1.3964189291000366, adv 0.0936540423898593, acc 0.6132127192982456
Epoch 12: train loss 0.9759131669998169, test loss 1.510970950126648, adv 0.09330751254470215, acc 0.6037554824561403
Epoch 13: train loss 0.665630578994751, test loss 1.462645411491394, adv 0.0900322277144302, acc 0.6171875
Epoch 14: train loss 0.9912664294242859, test loss 1.2844597101211548, adv 0.10485489922110502, acc 0.6348684210526315
Epoch 15: train loss 1.1242684125900269, test loss 1.2730247974395752, adv 0.1152257812353723, acc 0.6289747807017544
Epoch 16: train loss 0.7942047119140625, test loss 1.3083199262619019, adv 0.11807291374112983, acc 0.6208881578947368
Epoch 17: train loss 1.2090587615966797, test loss 1.3388642072677612, adv 0.13104708476099536, acc 0.6223958333333334
Epoch 18: train loss 0.6810329556465149, test loss 1.4882375001907349, adv 0.11458976951450128, acc 0.6034813596491229
Epoch 19: train loss 0.9972490072250366, test loss 1.3958196640014648, adv 0.12148204188432665, acc 0.6149945175438597
model: 10000, 10, 64 begin
Epoch 0: train loss 1.5975546836853027, test loss 1.7942843437194824, adv 0.029778893772585135, acc 0.5142543859649122
Epoch 1: train loss 1.5296894311904907, test loss 1.582179307937622, adv 0.03863010564698843, acc 0.5549616228070176
Epoch 2: train loss 1.2202926874160767, test loss 1.4460234642028809, adv 0.05423345667396884, acc 0.5905975877192983
Epoch 3: train loss 0.9836317300796509, test loss 1.440578818321228, adv 0.05688326171619018, acc 0.5962171052631579
Epoch 4: train loss 1.3729121685028076, test loss 1.3739713430404663, adv 0.06389284811548612, acc 0.6056743421052632
Epoch 5: train loss 1.0043253898620605, test loss 1.3120450973510742, adv 0.05820867620625736, acc 0.6163651315789473
Epoch 6: train loss 0.9292474985122681, test loss 1.2864106893539429, adv 0.06461457806736692, acc 0.6256853070175439
Epoch 7: train loss 1.0014292001724243, test loss 1.2863531112670898, adv 0.0723134209590145, acc 0.6248629385964912
Epoch 8: train loss 0.9976688027381897, test loss 1.285539984703064, adv 0.08667195603737199, acc 0.6207510964912281
Epoch 9: train loss 0.8333588242530823, test loss 1.3482481241226196, adv 0.08404833455035676, acc 0.6222587719298246
Epoch 10: train loss 0.9621569514274597, test loss 1.2851495742797852, adv 0.09908544791140073, acc 0.6277412280701754
Epoch 11: train loss 0.8840538859367371, test loss 1.2976291179656982, adv 0.09831018063435004, acc 0.6284265350877193
Epoch 12: train loss 0.9004413485527039, test loss 1.32573664188385, adv 0.11619413394746203, acc 0.6204769736842105
Epoch 13: train loss 0.6465538144111633, test loss 1.3233343362808228, adv 0.103957344501863, acc 0.6207510964912281
Epoch 14: train loss 0.5982542634010315, test loss 1.4991505146026611, adv 0.1091310102229961, acc 0.6112938596491229
Epoch 15: train loss 0.9492926001548767, test loss 1.3194020986557007, adv 0.13053394558969467, acc 0.6304824561403509
Epoch 16: train loss 0.9946478605270386, test loss 1.301554560661316, adv 0.12785751816173307, acc 0.6236293859649122
Epoch 17: train loss 0.9867160320281982, test loss 1.3431602716445923, adv 0.1321172461570147, acc 0.6162280701754386
Epoch 18: train loss 0.9952167272567749, test loss 1.4246537685394287, adv 0.12785035059634142, acc 0.6196546052631579
Epoch 19: train loss 0.9004582762718201, test loss 1.3800549507141113, adv 0.14298342156752597, acc 0.6243146929824561
model: 50000, False, 64 begin
Epoch 0: train loss 1.6579301357269287, test loss 1.7094814777374268, adv 0.038940066280963914, acc 0.5171326754385965
Epoch 1: train loss 1.4229516983032227, test loss 1.4641896486282349, adv 0.03813349575914171, acc 0.5803179824561403
Epoch 2: train loss 1.089630365371704, test loss 1.4165319204330444, adv 0.04741871103184858, acc 0.5916940789473685
Epoch 3: train loss 1.197975754737854, test loss 1.3266587257385254, adv 0.05247330740137435, acc 0.6143092105263158
Epoch 4: train loss 1.0411320924758911, test loss 1.374923586845398, adv 0.06527004460858665, acc 0.5989583333333334
Epoch 5: train loss 1.380045771598816, test loss 1.4122185707092285, adv 0.08176860992529345, acc 0.5955317982456141
Epoch 6: train loss 0.9463437795639038, test loss 1.3140900135040283, adv 0.07456506042989008, acc 0.6197916666666666
Epoch 7: train loss 1.0628365278244019, test loss 1.385072946548462, adv 0.0853700921193058, acc 0.6084155701754386
Epoch 8: train loss 1.1902320384979248, test loss 1.2959063053131104, adv 0.09566885964912286, acc 0.6210252192982456
Epoch 9: train loss 0.8423107862472534, test loss 1.3272732496261597, adv 0.10036931977756558, acc 0.6204769736842105
Epoch 10: train loss 1.2206767797470093, test loss 1.446494221687317, adv 0.10151934833080567, acc 0.6099232456140351
Epoch 11: train loss 0.7302851676940918, test loss 1.5750936269760132, adv 0.09026085842273768, acc 0.5916940789473685
Epoch 12: train loss 1.352858543395996, test loss 1.8364295959472656, adv 0.08743566744368925, acc 0.5881304824561403
Epoch 13: train loss 0.799684464931488, test loss 1.4775673151016235, adv 0.0905766701305023, acc 0.6052631578947368
Epoch 14: train loss 1.7607959508895874, test loss 1.9518660306930542, adv 0.08065207876949576, acc 0.5819627192982456
Epoch 15: train loss 0.9624569416046143, test loss 1.3996692895889282, adv 0.09464521428972639, acc 0.6114309210526315
Epoch 16: train loss 1.0496574640274048, test loss 1.3944705724716187, adv 0.10598898359826991, acc 0.6084155701754386
Epoch 17: train loss 0.9285823106765747, test loss 1.3512922525405884, adv 0.11183727812728195, acc 0.620202850877193
Epoch 18: train loss 1.056923270225525, test loss 1.478910207748413, adv 0.10681705681626685, acc 0.6107456140350878
Epoch 19: train loss 0.8267879486083984, test loss 1.3759665489196777, adv 0.1060495422119867, acc 0.6233552631578947
model: 50000, 2, 64 begin
Epoch 0: train loss 1.6780327558517456, test loss 1.6090954542160034, adv 0.03988004128517664, acc 0.5545504385964912
Epoch 1: train loss 1.2816319465637207, test loss 1.4361894130706787, adv 0.05123361114231684, acc 0.5899122807017544
